"company_name","website","company_type","city","state","contact_first_name","contact_last_name","job_title","email","email_type","verification_status","verification_method","source_url","date_verified"
"Era-Valdivia Contractors","https://eravaldivia.com","Commercial general contractor","Chicago","IL","","","Estimating","estimating@eravaldivia.com","Role-Based","Verified - Published Public Directory","Illinois DOT contract detail","https://webapps1.dot.illinois.gov/WCTB/LbContractDetail/Index/3931ab2e-3903-43be-bf9e-a5b138e97cfd?contractId=a42fc2f3-99c3-4a5c-b9ef-f7b786a4fd1c&page=2","2026-09-11"
"Alliance Contractors","https://alliancecontractors.com","Commercial general contractor","Woodstock","IL","","","Estimating","estimating@alliancecontractors.com","Role-Based","Verified - Published Public Directory","Illinois DOT contract detail","https://webapps1.dot.illinois.gov/WCTB/LbContractDetail/Index/3931ab2e-3903-43be-bf9e-a5b138e97cfd?contractId=a42fc2f3-99c3-4a5c-b9ef-f7b786a4fd1c&page=2","2026-09-11"
"Berger Excavating Contractors","https://bergerexcavating.com","Commercial contractor","Wauconda","IL","","","Contact","jberger@bergerexcavating.com","Named","Verified - Published Public Directory","Illinois DOT contract detail","https://webapps1.dot.illinois.gov/WCTB/LbContractDetail/Index/a7002430-7832-46c2-895c-bb725f67a53f?contractId=29973ccf-069d-4148-99a1-9b0e1130d585&page=2","2026-09-11"
"Campos Construction","https://camposconstruction.net","Commercial contractor","Rockford","IL","Linda","","Contact","Linda@camposconstruction.net","Named","Verified - Published Public Directory","Illinois DOT contract detail","https://webapps1.dot.illinois.gov/WCTB/LbContractDetail/Index/35bb1ba9-8b75-42d4-8893-9a99cecd5594?contractId=17847b71-667c-413e-b92b-3af7d4d39d81&page=2","2026-09-11"
"Kinney Contractors","https://roadbuilder.net","Commercial contractor","Raymond","IL","","","Contact","kinney@roadbuilder.net","Role-Based","Verified - Published Public Directory","Illinois DOT contract detail","https://webapps1.dot.illinois.gov/WCTB/LbContractDetail/Index/35bb1ba9-8b75-42d4-8893-9a99cecd5594?contractId=17847b71-667c-413e-b92b-3af7d4d39d81&page=2","2026-09-11"
"Plote Construction","https://plote.com","Civil and commercial contractor","Hoffman Estates","IL","","","Bids","bids@plote.com","Role-Based","Verified - Published Public Directory","Illinois DOT contract detail","https://webapps1.dot.illinois.gov/WCTB/LbContractDetail/Index/3782471b-35d4-4317-b981-4e70572fcb5e?contractId=8be935b3-1b21-4c86-9e16-bfdabb27dfc3&page=2","2026-09-11"
"Pinto Construction Group","https://pintoconstruction.com","Commercial and institutional contractor","Palos Hills","IL","Richard","Pinto","President","richard.pinto@pintoconstruction.com","Named","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=109687","2026-09-11"
"Illinois Construction & Environmental Consulting","https://iceillinois.com","Engineering and construction inspection","Wheeling","IL","Clayton","Hamano","Contact","chamano@iceillinois.com","Named","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=110686","2026-09-11"
"Comprehensive Construction Consulting","https://comprehensivecc.com","Construction management and engineering","Chicago","IL","Lynn","Dixon","Contact","ldixon@comprehensivecc.com","Named","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=110679","2026-09-11"
"Infrastructure Engineering","https://infra-eng.com","Civil and structural engineering","Chicago","IL","Michael","Sutton","Contact","msutton@infra-eng.com","Named","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=109594","2026-09-11"
"Chicago Area Plumbing","https://chicagoareaplumbing.com","Commercial plumbing contractor","Elk Grove Village","IL","Samantha","Polz","Contact","sam@chicagoareaplumbing.com","Named","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=112114","2026-09-11"
"Exmoor Construction","https://exmoorconstruction.com","Commercial specialty contractor","Barrington","IL","","","Contact","info@exmoorconstruction.com","Role-Based","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=112270","2026-09-11"
"Tower Engineering Group","https://towerengineeringgroup.com","Civil and construction engineering","Chicago","IL","","","Contact","nathan@towerengineeringgroup.com","Named","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=112594","2026-09-11"
"CKL Engineers","https://ckleng.com","Civil engineering firm","Chicago","IL","Mae","Whiteside","Contact","mwhiteside@ckleng.com","Named","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=108832","2026-09-11"
"2IM Group","https://2imgroup.com","Architecture and engineering firm","Chicago","IL","Luis","Montgomery","Contact","luis.m@2imgroup.com","Named","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=108685","2026-09-11"
"Delta Engineering Group","https://deg-america.com","Engineering firm","Chicago","IL","Syed","Kazi","Contact","contact@deg-america.com","Role-Based","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=108893","2026-09-11"
"R & G Engineering","https://rgengineering.net","Engineering firm","Chicago","IL","Richard","Rivera","Contact","rrivera@rgengineering.net","Named","Verified - Published Public Directory","Illinois DOT Unified Certification Program","https://webapps.dot.illinois.gov/UCP/ExternalContractor/Index?AutoId=108957","2026-09-11"
"Dunnet Bay Construction","https://dunnetbay.net","Civil and commercial contractor","Glendale Heights","IL","","","Estimating","estimating@dunnetbay.net","Role-Based","Verified - Published Public Directory","Illinois DOT contract detail","https://webapps1.dot.illinois.gov/WCTB/LbContractDetail/Index/0e93e203-1cf3-4e92-a42b-36225897b955?contractId=b25276c0-f2cb-40ce-b9c8-fa718ea9e08b&page=2","2026-09-11"
"Austin Tyler Construction","https://austin-tyler.com","Commercial contractor","Elwood","IL","","","Contact","info@austin-tyler.com","Role-Based","Verified - Published Public Directory","Illinois DOT contract detail","https://webapps1.dot.illinois.gov/WCTB/LbContractDetail/Index/00894c68-fa6d-4bf5-934c-7c6be361833f?contractId=54aa64c6-c4d9-4971-a77b-bb572226b432&page=2","2026-09-11"
"D Construction","https://dconstruction.com","Commercial contractor","Coal City","IL","","","Bids","bids@dconstruction.com","Role-Based","Verified - Published Public Directory","Illinois DOT contract detail","https://webapps1.dot.illinois.gov/WCTB/LbContractDetail/Index/87a8dc3b-e887-4cb4-ab93-5ef072848f82?contractId=ff78f9e6-11be-4363-8eeb-aecac165c183&page=2","2026-09-11"
"Landmark Contractors","https://golandmark.com","Commercial contractor","Huntley","IL","","","Estimating","estimating@golandmark.com","Role-Based","Verified - Published Public Directory","Illinois DOT contract detail","https://webapps1.dot.illinois.gov/WCTB/LbContractDetail/Index/a0dc3320-bbd4-45fe-b716-445988dabd2f?contractId=250546d1-af96-476f-a81a-ac903f72f64f&page=2","2026-09-11"
"Midwestern Contractors","https://midwesterncontractors.com","Construction management and contractor","Elburn","IL","Mike","Purpura","Business Development","Mike.Purpura@MidwesternContractors.com","Named","Verified - Published Official Website","Official website","http://midwesterncontractors.com/contact","2026-09-11"
"iBuilders","https://ibuilderscorp.com","Commercial and residential builder","Chicago","IL","","","General Inquiries","IBC@iBuildersCorp.com","Role-Based","Verified - Published Official Website","Official website","https://ibuilderscorp.com/contact","2026-09-11"
"Chicago Construction Services","https://chicagoconstructions.com","Commercial and residential contractor","Chicago","IL","","","General Inquiries","info@ChicagoConstructions.com","Role-Based","Verified - Published Official Website","Official website","https://www.chicagoconstructions.com/contact","2026-09-11"
"CK Construction Chicago","https://ckconstructionchicago.com","Commercial and industrial contractor","Schaumburg","IL","","","Contact","contact@ckconstructionchicago.com","Role-Based","Verified - Published Official Website","Official website","https://ckconstructionchicago.com/contact-ck-construction","2026-09-11"
"Chicago Common","https://chicommon.com","Commercial contractor","Chicago","IL","","","Contact","contact@chicommon.com","Role-Based","Verified - Published Official Website","Official website","https://www.chicommon.com/contact","2026-09-11"
"Builders Chicago","https://builderschicago.com","Commercial specialty contractor","Elk Grove Village","IL","","","Customer Service","info@builderschicago.com","Role-Based","Verified - Published Official Website","Official website","https://builderschicago.com/contact","2026-09-11"
"Engineering Enterprises","https://eeiweb.com","Civil engineering firm","Sugar Grove","IL","","","General Inquiries","eei@eeiweb.com","Role-Based","Verified - Published Official Website","Official website","https://eeiweb.com/home/contact-us","2026-09-11"
"Allen + Shariff","https://allenshariff.com","Engineering firm","Chicago","IL","","","General Inquiries","info@allenshariff.com","Role-Based","Verified - Published Official Website","Official website","https://www.allenshariff.com/contact/chicago-il-engineering-office","2026-09-11"
"WJW Architects","https://wjwarchitects.com","Architecture firm","Chicago","IL","Michelle","Sablack","Energy Efficiency Advocate","michelles@wjwarchitects.com","Named","Verified - Published Public Document","Illinois Energy Conservation Advisory Council listing","https://cdb.illinois.gov/content/dam/soi/en/web/cdb/business/codes/documents/2022-council-membership-listing-with-terms.pdf","2026-09-11"
"JK Roth","https://jkroth.com","Architecture firm","Chicago","IL","","","Architect","jkr@jkroth.com","Role-Based","Verified - Published Public Document","Illinois Energy Conservation Advisory Council listing","https://cdb.illinois.gov/content/dam/soi/en/web/cdb/business/codes/ecacouncil/ecac/docs/2024-council-membership-listing-with-terms.pdf","2026-09-11"
"Fujikawa Johnson Gobel Architects","https://fjgarchitects.com","Architecture firm","Chicago","IL","Michael","Pine","Contact","mpine@fjgarchitects.com","Named","Verified - Reliable Directory","Constrafor company directory","https://www.constrafor.com/network/illinois/fujikawa-johnson-gobel-architects","2026-09-11"
"Kehrer Brothers Construction","https://kehrerco.com","Commercial contractor","O’Fallon","IL","","","Estimating","estimating@kehrerco.com","Role-Based","Verified - Reliable Directory","Southern Illinois Builders Association directory","https://siba-agc.org/MemberInfo/tabid/81/Default.aspx?company=332","2026-09-11"
"Widman Construction","https://widmanconstruction.com","Civil and industrial contractor","Godfrey","IL","Travis","Widman","President","travis.widman@widmanconstruction.com","Named","Verified - Reliable Directory","Southern Illinois Builders Association directory","https://www.siba-agc.org/Member-Information/company/11493","2026-09-11"
"Southern Illinois Piping Contractors","https://sipiping.com","Commercial HVAC and plumbing contractor","Carbondale","IL","Stephen","Short","President","sshort@sipiping.com","Named","Verified - Reliable Directory","Southern Illinois Builders Association directory","https://www.siba-agc.org/Member-Information/company/1362","2026-09-11"
"Harbour Contractors","https://harbour.us","Commercial general contractor","Plainfield","IL","Jim","Prosise","Contact","jprosise@harbour.us","Named","Verified - Public Industry Document","Chicago procurement pre-bid register","https://www.chicago.gov/content/dam/city/depts/dps/PreBids/2025PreBids/PreProp1193011B.pdf","2026-09-11"
"IHC Construction","https://ihcconstruction.com","Commercial general contractor","Chicago","IL","Craig","Bradley","Contact","cbradley@ihcconstruction.com","Named","Verified - Public Industry Document","Chicago procurement pre-bid register","https://www.chicago.gov/content/dam/city/depts/dps/PreBids/2021PreBids/PreBid1186934.pdf","2026-09-11"
